x,y,vx,vy,rho,p,neighbor_count
1.140000001e+00,3.000083429e-02,1.264343253e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.150000001e+00,3.000083429e-02,1.264343303e-05,5.487919557e-03,1.002968205e+03,2.968204682e+05,36
1.160000001e+00,3.000083429e-02,1.264343477e-05,5.487919557e-03,1.002968205e+03,2.968204682e+05,36
1.170000001e+00,3.000083429e-02,1.264343540e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.180000001e+00,3.000083429e-02,1.264343491e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.190000001e+00,3.000083429e-02,1.264343445e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.200000001e+00,3.000083429e-02,1.264343412e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.210000001e+00,3.000083429e-02,1.264343392e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.220000001e+00,3.000083429e-02,1.264343387e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.230000001e+00,3.000083429e-02,1.264343385e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.240000001e+00,3.000083429e-02,1.264343384e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.250000001e+00,3.000083429e-02,1.264343384e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.260000001e+00,3.000083429e-02,1.264343385e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.270000001e+00,3.000083429e-02,1.264343387e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.280000001e+00,3.000083429e-02,1.264343388e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.290000001e+00,3.000083429e-02,1.264343387e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.300000001e+00,3.000083429e-02,1.264343384e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.310000001e+00,3.000083429e-02,1.264343383e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.320000001e+00,3.000083429e-02,1.264343384e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.330000001e+00,3.000083429e-02,1.264343383e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.340000001e+00,3.000083429e-02,1.264343375e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.350000001e+00,3.000083429e-02,1.264343351e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.360000001e+00,3.000083429e-02,1.264343328e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.370000001e+00,3.000083429e-02,1.264343331e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.380000001e+00,3.000083429e-02,1.264343319e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.390000001e+00,3.000083429e-02,1.264343260e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.400000001e+00,3.000083429e-02,1.264343305e-05,5.487919557e-03,1.002968205e+03,2.968204682e+05,36
1.410000001e+00,3.000083429e-02,1.264343475e-05,5.487919557e-03,1.002968205e+03,2.968204682e+05,36
1.420000001e+00,3.000083429e-02,1.264343543e-05,5.487919555e-03,1.002968205e+03,2.968204682e+05,36
1.430000001e+00,3.000083429e-02,1.264343493e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.440000001e+00,3.000083429e-02,1.264343446e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.450000001e+00,3.000083429e-02,1.264343411e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.460000001e+00,3.000083429e-02,1.264343391e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.470000001e+00,3.000083429e-02,1.264343386e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.480000001e+00,3.000083429e-02,1.264343386e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.490000001e+00,3.000083429e-02,1.264343386e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.500000001e+00,3.000083429e-02,1.264343386e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.510000001e+00,3.000083429e-02,1.264343386e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.520000001e+00,3.000083429e-02,1.264343386e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.530000001e+00,3.000083429e-02,1.264343386e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.540000001e+00,3.000083429e-02,1.264343386e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.550000001e+00,3.000083429e-02,1.264343385e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.560000001e+00,3.000083429e-02,1.264343383e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.570000001e+00,3.000083429e-02,1.264343383e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.580000001e+00,3.000083429e-02,1.264343386e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.590000001e+00,3.000083429e-02,1.264343385e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.600000001e+00,3.000083429e-02,1.264343372e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.610000001e+00,3.000083429e-02,1.264343348e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.620000001e+00,3.000083429e-02,1.264343330e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.630000001e+00,3.000083429e-02,1.264343335e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
