x,y,vx,vy,rho,pressure,neighbor_count
2.967158705e-01,2.877676381e-01,6.859435629e+00,2.568619648e-01,9.955584256e+02,-2.156171036e+05,15
3.109049813e-01,2.875027301e-01,1.068119696e+01,7.919225685e+00,9.959586426e+02,-6.895833905e+04,15
3.361851236e-01,2.864846976e-01,1.046789030e+01,-4.287435141e+00,9.998469988e+02,-2.461314155e+04,17
3.795468306e-01,2.761837996e-01,1.002345970e+01,-4.279848525e-01,1.008023300e+03,2.798310906e+05,13
4.081924547e-01,2.744230757e-01,1.133549512e+01,-9.550129501e-01,9.998221859e+02,-3.982436074e+03,15
4.432503301e-01,2.811148881e-01,9.739683711e+00,1.057790569e+00,1.004017485e+03,8.536247502e+04,16
4.607621610e-01,2.938411623e-01,1.062312434e+01,-9.321790355e-01,1.000037051e+03,5.271248340e+04,16
5.019591835e-01,2.535516013e-01,1.324928091e+01,5.442450039e-01,9.942863505e+02,-1.544532745e+05,16
4.919175292e-01,3.040463881e-01,1.245020157e+01,-1.719746373e+00,1.002152924e+03,4.728172441e+04,11
5.086228085e-01,2.587948144e-01,1.147033922e+01,-4.830021260e-01,1.007513204e+03,2.195343671e+05,13
5.684757655e-01,3.225235984e-01,1.364484209e+01,1.871220665e+00,1.008518292e+03,1.417463364e+05,8
4.500000000e-06,2.852881956e-01,0.000000000e+00,3.634102350e-03,1.004990938e+03,1.486370790e+06,12
9.584863501e-02,3.030871999e-01,1.692888954e+00,4.138711797e+00,9.992652667e+02,-1.106089699e+05,12
1.429166469e-01,2.898161769e-01,1.348949660e+00,-2.526061184e+00,9.951444569e+02,-1.072959138e+05,10
2.298653522e-01,2.742410648e-01,1.683489136e+00,2.789040788e+00,9.952844622e+02,-2.590462599e+05,12
2.470014920e-01,3.213628167e-01,7.086746572e+00,4.540869242e+00,1.000571477e+03,4.058118824e+04,16
2.734162789e-01,2.950353470e-01,7.137950328e+00,-8.383957309e-01,1.002307512e+03,2.477691516e+05,15
3.266061222e-01,2.797564457e-01,7.692114583e+00,-7.178089937e-01,9.975397721e+02,8.824005910e+03,12
3.521714774e-01,2.703342384e-01,8.830495435e+00,4.703862751e-01,1.009290394e+03,3.089527606e+05,14
3.791652629e-01,3.012932145e-01,1.046242085e+01,1.764610603e+00,1.002511367e+03,1.104037865e+05,16
4.184837285e-01,3.019779045e-01,1.140519318e+01,1.393856647e+00,9.967375224e+02,-6.725568690e+04,17
4.359803487e-01,3.203629697e-01,1.195455464e+01,1.965862841e+00,9.994788162e+02,5.333115013e+03,16
