step,t,dt,vmax,rho_min,rho_avg,rho_max,err_avg_pct,p_min,p_avg,p_max,neigh_min,neigh_avg,neigh_max
71,0.035500000000000025,0.0005,1.8264127261148198,979.9048398037377,1007.3877257770059,1048.5138552783844,0.7387725777005926,-10047.580098131164,3693.862888502963,24256.927639192214,5,9.48,12
72,0.036000000000000025,0.0005,1.3079360127691102,966.110573855447,1005.4827538131699,1046.5264351296898,0.5482753813169859,-16944.7130722765,2741.376906584929,23263.217564844923,5,9.48,12
73,0.036500000000000025,0.0005,0.9898782935432202,951.3051302537751,1003.5596003843269,1037.7989867129397,0.3559600384326922,-24347.434873112434,1779.8001921634602,18899.493356469862,5,9.56,12
74,0.037000000000000026,0.0005,1.4237626122277829,961.6241437977301,1002.2389587328385,1038.9117684489593,0.22389587328387303,-19187.92810113496,1119.479366419365,19455.884224479632,5,9.58,12
75,0.037500000000000026,0.0005,1.3887912091398156,954.4289152596821,1001.5211250481549,1037.7083581411794,0.152112504815481,-22785.542370158964,760.562524077405,18854.17907058968,5,9.62,12
76,0.03800000000000003,0.0005,1.0593829984334329,950.0773132073064,1000.8090108919725,1037.1888663959526,0.08090108919726298,-24961.34339634682,404.5054459863151,18594.433197976286,5,9.62,12
77,0.03850000000000003,0.0005,1.2869811140467466,953.2377650526502,999.4641730459574,1048.4841468043062,-0.05358269540426747,-23381.11747367492,-267.9134770213375,24242.073402153095,5,9.62,12
78,0.03900000000000003,0.0005,1.7744767906829741,963.3174659649952,997.3742274967067,1035.7373385873975,-0.2625772503293332,-18341.26701750239,-1312.8862516466666,17868.66929369876,5,9.66,12
79,0.03950000000000003,0.0005,1.7223052638402496,976.9252396174355,995.0667731037803,1021.7661642183332,-0.4933226896219759,-11537.380191282238,-2466.613448109879,10883.082109166593,5,9.7,12
80,0.04000000000000003,0.0005,1.2746966686838292,964.2046113811049,993.5196539829726,1021.0022753716213,-0.6480346017027259,-17897.694309447557,-3240.17300851363,10501.137685810647,5,9.6,12
81,0.04050000000000003,0.0005,1.005475945350306,951.7354669407507,993.6189287566516,1019.0445452095112,-0.6381071243348347,-24132.266529624645,-3190.535621674174,9522.272604755584,5,9.64,12
82,0.04100000000000003,0.0005,1.1736296130681418,954.8386763386537,995.49631751557,1028.3493349152482,-0.4503682484430028,-22580.661830673136,-2251.841242215013,14174.667457624082,5,9.64,12
83,0.04150000000000003,0.0005,0.9644451268029082,958.0788023152011,998.3088553504265,1036.8792833842429,-0.16911446495735283,-20960.598842399464,-845.5723247867638,18439.641692121426,5,9.64,12
84,0.04200000000000003,0.0005,0.7429424367010129,961.1953491672837,1000.7101813473145,1043.1574223742477,0.07101813473144726,-19402.325416358166,355.09067365723627,21578.711187123874,5,9.62,12
85,0.04250000000000003,0.0005,0.975776919364131,962.0387400798337,1001.7520567561222,1047.8704337533966,0.17520567561221928,-18980.629960083148,876.028378061096,23935.21687669829,5,9.62,12
86,0.04300000000000003,0.0005,1.2135787772639266,970.0495026524894,1001.4021063785539,1032.0988974583065,0.14021063785539611,-14975.248673755288,701.053189276981,16049.448729153255,3,9.58,12
87,0.04350000000000003,0.0005,1.177671477036962,975.844465363047,1000.4716444984069,1033.813206403071,0.0471644498407128,-12077.767318476504,235.82224920356384,16906.603201535516,3,9.54,12
