x,y,vx,vy,rho,pressure,neighbor_count
1.353823127e-01,1.651843402e-01,-2.574720338e+00,4.240454383e+00,1.008100412e+03,-4.177860634e+05,14
1.689062877e-01,1.486751396e-01,1.663228169e+01,1.439713673e+00,9.405140552e+02,1.198185825e+06,14
2.038844093e-01,1.699615266e-01,1.471136410e+01,4.367356419e+00,9.933074409e+02,3.297249004e+05,16
1.782276326e-01,1.383757947e-01,1.509271039e+01,-7.065073174e+00,8.601371699e+02,-7.863479770e+05,13
2.313347235e-01,1.610800727e-01,1.185247888e+01,1.083916365e+01,1.004957381e+03,1.265766054e+05,15
2.539161351e-01,1.414622503e-01,9.359782325e+00,1.513790827e+00,9.723222323e+02,-9.113956312e+05,14
2.765667133e-01,1.368101555e-01,1.006466960e+01,1.889176405e+00,9.941346136e+02,1.374412041e+04,13
2.984551933e-01,1.594070712e-01,9.532944747e+00,3.576708341e+00,1.007933487e+03,2.556328299e+05,15
3.114246053e-01,1.511982830e-01,9.664151563e+00,2.276698743e+00,1.000246279e+03,-4.877229278e+04,12
3.614341321e-01,1.350242927e-01,1.283117189e+01,6.406452293e-01,9.974672423e+02,-3.387419109e+03,8
3.660661055e-01,1.628904788e-01,1.177984378e+01,1.743814829e+00,9.983355046e+02,8.694314170e+04,13
4.254295795e-01,1.429701430e-01,1.772632335e+01,7.800744909e+00,9.981509883e+02,-7.815947743e+04,11
4.393761627e-01,1.507692035e-01,1.288836981e+01,3.590574624e+00,1.008653139e+03,3.256224977e+05,11
4.573825826e-01,1.103156203e-01,1.426794388e+01,-1.184060592e+00,1.000000000e+03,0.000000000e+00,6
6.796849901e-02,1.231380538e-01,-1.107669552e+01,1.263837548e+01,1.000417059e+03,6.748149185e+05,10
6.320654367e-02,1.680670497e-01,-1.196556248e+01,-4.866631964e-01,1.000758665e+03,6.027751101e+05,13
1.121523589e-01,1.798657558e-01,-3.853055105e+00,1.561520571e+00,1.010826378e+03,1.011019125e+06,10
1.620143450e-01,1.886857733e-01,1.126804173e+01,9.345221407e+00,1.069823879e+03,9.959366771e+05,15
1.742004058e-01,1.725238331e-01,1.142545454e+01,1.150716908e+01,1.040038004e+03,-1.259779982e+05,16
2.120541909e-01,1.793753867e-01,1.164179057e+01,6.369039756e-02,9.941408875e+02,2.008165190e+05,15
2.300395440e-01,1.593402779e-01,1.836512386e+01,1.731424792e+00,9.938122492e+02,-2.694003317e+05,15
2.546747417e-01,1.692023514e-01,6.312308637e+00,-1.879213913e+00,1.000541323e+03,1.540010597e+05,13
2.618617498e-01,1.734845559e-01,8.287826469e+00,2.520079923e+00,1.001899226e+03,2.542215699e+05,14
3.046696360e-01,1.712441199e-01,1.106397479e+01,4.444547349e+00,1.004203909e+03,8.536964786e+04,15
3.205131854e-01,1.580364468e-01,1.227747636e+01,3.166293408e+00,1.003490404e+03,2.109274129e+05,11
3.408636217e-01,1.652678001e-01,9.957068837e+00,-1.014785680e+00,9.954591250e+02,-2.117026148e+04,14
3.606776658e-01,1.485581238e-01,9.101771013e+00,-2.769488619e-01,9.988226927e+02,6.759815037e+04,11
4.036271942e-01,1.751726132e-01,1.047484856e+01,2.517852541e-01,9.971058482e+02,-1.763739377e+05,14
3.822028438e-01,1.656721929e-01,6.387566286e+00,2.128708566e+00,9.974917111e+02,-3.818869003e+04,11
4.519434950e-01,1.882975831e-01,1.684447886e+01,1.996399501e+00,9.979589875e+02,-4.627267419e+05,7
4.500000000e-06,1.081327093e-01,0.000000000e+00,-3.615890061e-01,1.004976394e+03,1.492975584e+06,12
7.667733749e-02,1.422091270e-01,2.058132417e+00,-2.660715718e+00,9.997262225e+02,1.214009478e+05,12
1.080156841e-01,1.929859890e-01,-4.654282327e+00,9.977530629e+00,9.881469458e+02,-3.217439704e+05,11
1.586493874e-01,1.942410417e-01,1.277142719e+01,1.116348111e+01,1.038594790e+03,6.734096262e+05,15
1.892584049e-01,1.697892865e-01,1.116097561e+01,-4.933804702e+00,1.007139698e+03,3.461652251e+05,18
1.898278628e-01,1.984999133e-01,6.930139653e+00,4.819808586e+00,9.866680394e+02,-3.653258389e+03,17
2.336917572e-01,1.906007836e-01,1.165003084e+01,3.383265028e+00,1.001145782e+03,1.132996006e+05,16
2.442057193e-01,1.868566919e-01,1.122917759e+01,1.433022908e+00,9.989639729e+02,-4.476768809e+04,15
2.691919216e-01,1.834112903e-01,8.226553244e+00,2.147509903e+00,9.977241257e+02,1.740264876e+05,16
2.981952307e-01,1.907275311e-01,1.021255255e+01,-1.469110989e-01,9.965981580e+02,-3.819329525e+04,14
3.131980276e-01,1.915324073e-01,9.154470341e+00,3.245455255e+00,9.996657114e+02,2.006992530e+05,15
3.389105400e-01,1.641353243e-01,6.909517418e+00,-2.198401430e+00,1.002462785e+03,1.557132505e+05,14
3.590077537e-01,1.920282947e-01,7.879076031e+00,4.113996836e+00,9.976541834e+02,3.322105669e+04,14
3.941863852e-01,1.692011106e-01,1.049841722e+01,-1.865130115e-01,9.989457841e+02,2.428593692e+05,11
4.380854575e-01,1.801089681e-01,1.403455465e+01,2.732245969e+00,1.005173631e+03,8.334867083e+04,10
4.461067722e-01,1.275120057e-01,1.118292706e+01,-8.195057722e+00,9.981471201e+02,-2.895840755e+04,11
4.500000000e-06,1.374154550e-01,0.000000000e+00,-1.291245248e-01,1.005191857e+03,1.511483957e+06,13
1.025149858e-01,2.130914267e-01,1.864573459e-01,-6.501263599e+00,1.012731622e+03,4.525805720e+05,12
