step,t,name,p,vx,vy,vz
1350,0.270000,mid,7389.938226,0.092042,0.011483,0.009307
1360,0.272000,inlet,4025.082353,0.000572,-0.040230,-0.003553
1360,0.272000,outlet,4607.201334,0.003541,-0.000095,0.002261
1360,0.272000,mid,7391.183991,0.092689,0.009989,0.010311
1370,0.274000,inlet,0.000000,-0.008223,-0.037893,-0.003354
1370,0.274000,outlet,4617.639923,0.003597,-0.000110,0.002263
1370,0.274000,mid,7392.386577,0.093505,0.008291,0.011512
1380,0.276000,inlet,672.365894,-0.005997,-0.038398,-0.002782
1380,0.276000,outlet,4628.258965,0.003654,-0.000124,0.002263
1380,0.276000,mid,7393.549477,0.094494,0.007060,0.012286
1390,0.278000,inlet,7409.820065,-0.000280,-0.038825,-0.003024
1390,0.278000,outlet,4639.048708,0.003710,-0.000139,0.002263
1390,0.278000,mid,7394.675028,0.095577,0.006540,0.012390
1400,0.280000,inlet,3050.578171,-0.001174,-0.038822,-0.002035
1400,0.280000,outlet,4650.004283,0.003765,-0.000154,0.002263
1400,0.280000,mid,7395.764525,0.096616,0.006320,0.012190
1410,0.282000,inlet,0.000000,-0.008474,-0.037696,-0.000935
1410,0.282000,outlet,4661.127992,0.003820,-0.000169,0.002263
1410,0.282000,mid,7396.819261,0.097649,0.006240,0.011844
1420,0.284000,inlet,5896.759163,-0.004055,-0.037742,-0.001250
1420,0.284000,outlet,4672.424215,0.003875,-0.000184,0.002262
1420,0.284000,mid,7397.840178,0.098627,0.006202,0.011439
1430,0.286000,inlet,3097.082034,0.000175,-0.037177,-0.002618
